host,port,
177.126.89.76,8080,
149.20.253.217,12551,
222.74.65.84,38051,
200.140.83.108,6588,
180.246.225.122,8080,
46.99.188.13,42551,
110.34.166.179,4153,
20.205.109.189,3128,
139.59.128.40,2016,
103.89.62.81,4153,
104.145.235.200,3128,
49.51.189.171,21127,
187.228.145.138,8080,
103.66.233.141,4145,
85.214.94.105,12126,
222.124.177.148,7497,
111.221.54.40,5678,
79.143.190.221,12580,
1.116.73.168,8989,
104.19.85.214,80,
95.179.193.202,6689,
212.108.205.6,5678,
185.19.213.56,5678,
177.38.5.59,4153,
103.122.84.27,5678,
190.15.247.231,5678,
202.159.35.57,443,
177.72.82.47,4153,
103.83.105.167,4153,
110.78.149.20,4145,
168.197.28.220,4145,
103.113.3.236,4145,
170.254.255.230,45816,
139.196.186.157,24001,
149.20.253.241,12551,
27.157.203.89,53309,
103.35.109.142,4145,
104.18.251.208,80,
185.169.181.29,4145,
190.203.169.99,8080,
38.127.179.121,11537,
139.224.117.52,2222,
81.46.202.112,8080,
95.140.124.217,1080,
164.68.115.155,63424,
177.38.5.137,4153,
69.163.252.140,10754,
103.5.172.242,58427,
124.227.14.147,7302,
173.236.181.192,24310,
104.21.31.189,80,
195.62.53.253,35360,
106.75.173.225,999,
182.253.154.184,5678,
75.119.203.49,32238,
51.77.116.174,28046,
81.24.82.69,40980,
117.26.40.156,2829,
109.73.180.73,4145,
194.58.104.111,Reg.Ru,3637
138.201.192.217,9051,
176.9.32.84,22000,
177.38.5.234,4153,
94.139.170.82,33848,
185.233.202.110,8088,
169.255.136.8,60279,
75.119.206.48,15745,
75.119.203.42,15745,
177.8.170.122,1080,
190.180.35.150,5678,
91.92.80.199,4145,
81.199.14.17,1088,
75.119.204.158,42863,
85.143.213.2,9050,
60.12.77.43,7302,
104.21.66.184,80,
202.124.43.250,4145,
175.100.87.209,5678,
66.42.60.190,21358,
213.5.17.84,1080,
125.209.114.38,5678,
139.255.45.67,5678,
109.234.39.199,26115,
36.92.161.41,5678,
104.156.224.85,11184,
84.241.22.125,4145,
187.95.82.254,3629,
172.67.231.3,80,
177.38.5.242,4153,
37.186.5.16,5678,
202.58.199.204,5678,
2.139.2.212,4145,
103.212.93.193,45639,
177.72.115.25,31164,
176.58.121.182,3128,
186.47.82.62,53523,
41.65.236.52,1976,
185.105.237.129,808,
177.38.5.33,4153,
117.86.111.68,1080,
125.164.149.210,5678,
195.175.87.14,4153,
45.113.80.37,9050,
190.205.32.70,999,
149.202.27.17,16379,
103.12.246.41,4145,
118.174.46.146,45330,
110.78.149.89,4145,
177.38.5.250,4153,
102.176.180.6,4153,
46.98.206.15,5678,
103.109.56.209,15108,
45.63.64.66,1080,
